id,lastname,firstname,first_g,last_g
schiu901,Schick,,19480722,19480722
schiu902,Schiefelbein,,19410813,19420628
schlj901,Schleyer,John,19790421,19790421
schmb102,Schmidt,Boss,19060902,19070915
schmh101,Schmidt,Henry,19030801,19030801
schrb901,Schroeder,Bobby,19780825,19790513
schrj901,Schratz,Joe,19760521,19790519
schro101,Schrecongost,Osee,19030502,19030722
schrp101,Schriver,Pop,19010629,19010720
schrp901,Schrieber,Paul,19970606,20150927
schru901,Schroy,,19490824,19490824
schud901,Schulte,Don,19790405,19790518
schuu901,Schuman,,19410619,19480726
schuu902,Schultz,,19490602,19490911
schwh901,Schwarts,Harry,19600908,19620930
schwh902,Schwarz,Hank,19950426,19950501
schwu901,Schwartz,,19130727,19130727
scofu901,Scofield,,19430526,19460829
scotd901,Scott,Dale,19850819,20170414
scotj104,Scott,Jim,19291019,19310927
scotj901,Scott,Jim,19780825,19790513
scriu901,Scribner,,19281009,19281009
seagu901,Seagraves,,19440714,19440714
searz901,Sears,Ziggy,19340722,19450930
secof101,Secory,Frank,19520416,19701001
segac901,Segal,Chris,20140414,20241019
seibb901,Seib,Bub,19370720,19420807
seibg901,Seibert,George,19420525,19420525
sentp101,Sentell,Paul,19220412,19230420
serau901,Serafian,,19470714,19490622
serru901,Serrano,,19451021,19451021
seymb901,Seymour,Bill,19490718,19490718
shaeu901,Sheasgreen,Jim,19810810,19810811
shanp901,Shaner,Patrick,19251018,19251018
shans101,Shannon,Spike,19140701,19150807
sharb901,Sharp,Bob,19790406,19790517
sharm901,Sharkey,Mick,19780825,19790516
sharu901,Sharp,,19490709,19490709
shawd901,Shaw,Duane,19790428,19790518
shawu901,Shaw,,19441018,19441018
shepu901,Sheppard,,19370727,19370727
sherj901,Sheridan,Jack,19010425,19140924
sheru901,Sherwood,,19370620,19380708
shewj901,Shewmake,Jim,19780825,19780825
shilu901,Shilling,,19370902,19370902
shipj102,Shipp,Jesse,19200711,19200711
shipu901,Shipley,,19380724,19380724
shiru901,Shires,,19300827,19300922
shorl901,Shores,Lou,19261024,19261024
shulj901,Shulock,John,19790405,20020718
shutu901,Shutt,,19410727,19410727
sicku901,Sickels,,19470702,19470702
siddu901,Siddle,,19350606,19390715
sieve101,Siever,Ed,19010707,19010707
simmu901,Simms,,19391008,19391008
singu901,Singbush,,19380715,19380715
siroh901,Siroka,Harold,19790410,19790516
skelu902,Skelt,,19480509,19480509
sladu901,Slade,,19380726,19380726
slatd901,Slattery,Don,19790410,19790516
slauu901,Slaughter,,19450813,19450820
slicd901,Slickenmeyer,Dave,19790427,19950502
smaih901,Smail,Harry,19790412,19790517
smelu901,Smeltzer,,19480518,19490705
smita901,Smith,Al,19600419,19641015
smitc901,Smith,Candy,19420530,19470828
smitd901,Smith,Dave,19460507,19460507
smitd902,Smith,Don,19380810,19380810
smite902,Smith,Gene,19790511,19790516
smith104,Smith,Harry,19030906,19030906
smith110,Smith,Heinie,19010522,19010815
smitu901,Smith,,19390722,19390722
smitv101,Smith,Vinnie,19570416,19650815
smoru901,Smorch,,19450723,19460822
snaku901,Snake,,19350606,19350606
snydb901,Snyder,Buck,19261004,19480622
snydp101,Snyder,Pop,19010701,19010913
soarh901,Soar,Hank,19500418,19780903
sopeu901,Soper,,19370531,19370705
sorbu901,Sorber,,19450909,19450909
spagd901,Spagnardi,Darren,20020421,20041003
spanj901,Spange,John,19910408,19910408
spauu901,Spaulding,Gerald,19440808,19470602
speau901,Speakers,,19410520,19420908
spenf901,Spenn,Fred,19770715,19910408
spenh901,Spencer,Henry,19320725,19420419
spiep901,Spieler,Pat,20000424,20020825
spinm901,Spinelli,Mike,19790414,19790501
sprib901,Sprincz,Bill,19780825,19790513
sprim901,Springstead,Marty,19660412,19851006
stabu901,Stablin,,19420716,19440905
stace101,Stack,Eddie,19340429,19340429
stacu901,Stacey,,19400814,19400814
stafj901,Stafford,Jack,19060919,19070914
stanj901,Stansell,Jack,19790518,19790518
stanu902,Stanesic,,19490628,19490628
stard901,Stark,Dolly,19280411,19400423
steej901,Steech,John,19420525,19420525
steih101,Steinfeldt,Harry,19050604,19050604
steim901,Steiner,Mel,19610411,19721022
steld901,Stello,Dick,19680920,19871004
sterp901,Steinberg,Paul,19091002,19091007
stetu901,Stetzer,,19281012,19281012
stevj901,Stevens,Johnny,19450505,19750813
stevu901,Stevens,,19400609,19440731
stewb901,Stewart,Bill,19330923,19540926
stewb902,Stewart,Bob,19580620,19701015
stewe901,Stewart,Ernie,19410415,19450731
stewj901,Stewart,John,19790504,19841006
stewj902,Stewart,Jack,19260116,19451009
stewu901,Stewart,,19351031,19351031
sticu901,Stickney,,19490915,19490915
stoco101,Stocksdale,Otis,19150811,19150825
storl901,Storner,Lee,19430716,19430723
stouu901,Stout,,19380708,19470612
strap901,Strauch,Pete,19430523,19490630
strau901,Strasheim,,19470922,19470922
strau902,Strausbaugh,,19370715,19450820
strau903,Stradling,Gene,19430518,19440801
strem901,Strey,Murray,19780825,19790518
strie101,Stricklett,Elmer,19070530,19070530
stryu901,Stryher,,19430719,19430804
stuae901,Stuart,Ed,19251024,19251128
stulu901,Stull,,19470922,19470922
sudoe901,Sudol,Ed,19570616,19771018
sugnu901,Sugna,,19421122,19421122
sullu901,Sullivan,,19370817,19370817
summa901,Summers,Andrew,19510812,19570728
summb901,Summers,Bill,19330412,19591008
suppw901,Supple,Bill,19060921,19060929
suttm101,Suttles,Mule,19480531,19490704
swarc901,Swartz,Clint,19490604,19490604
sweeg901,Sweeney,George,19790417,19790422
sweej901,Sweeney,Monroe,19240415,19260926
swenc901,Swenson,Charles,19790413,19790515
swisu901,Swisher,,19420626,19420626
sylvf901,Sylvester,Frank,19950425,20040723
szafm901,Szafran,M.,19420819,19430718
tabaf901,Tabacchi,Frank,19560417,19590621
taglp901,Tagle,Paul,19341017,19460812
tannj101,Tannehill,Jesse,19010905,19020801
tarau901,Taraska,,19420828,19420828
tarru901,Tarr,,19420715,19420715
tarsu901,Tarsz,,19460718,19460718
tatat901,Tata,Terry,19730406,19990901
taylb108,Taylor,Ben,19321009,19480709
taylj101,Taylor,Jack,19050713,19050713
taylj901,Taylor,Joe Bob,19790504,19790509
taylu901,Taylor,,19410707,19420810
teacb101,Teachout,Bud,19421122,19421122
teatu901,Teater,,19430526,19450825
telft901,Telford,Tom,19790410,19790519
terlr901,Terlop,Russ,19790518,19790519
terra101,Terry,Adonis,19010830,19010831
theit901,Theilander,Ted,19790501,19790515
theou901,Theodore,,19440524,19440524
thomd901,Thomas,Derek,20230423,20240922
thomj901,Thompson,Jimmy,19400602,19460721
thomm901,Thompson,Mike,19780825,19790509
thomr901,Thompson,R.J.,20080913,20090604
thomu901,Thomas,,19390514,19461023
thomu902,Thomer,,19430720,19430720
thoru901,Thorpe,,19450617,19450617
ticht901,Tichenor,Todd,20070608,20241030
tight901,Tighe,Thomas,19451007,19451014
tillc901,Tiller,Chris,20080528,20100819
tillh901,Tillman,Hank,19780825,19790508
timmt901,Timmons,Tim,19990903,20211003
titub901,Titus,Bob,19490913,19490913
tomln901,Tomlinson,Nate,20200807,20240922
torrc901,Torres,Carlos,20150717,20241030
tosia901,Tosi,Alex,20190511,20241003
trafu901,Trafton,,19210716,19210716
